StartDate,EndDate,Duration (in seconds),ResponseId,Q1_5_TEXT,Q16,Q18,Q22_4_TEXT,Q26_11_TEXT,Q16 - Parent Topics,Q16 - Topics
1/13/2021 10:37:46,1/13/2021 10:39:45,118,R_0c71V8f62Vfihe9,yes,S-Science,NO,,,,Unknown
1/13/2021 10:43:19,1/13/2021 10:45:06,107,R_3q7qouXqooL8ciw,lLll,H-Humanities,Astronomy,,,,Unknown
1/13/2021 10:54:11,1/13/2021 10:54:53,42,R_1hM9f8qRiXeHppl,,afds,astro,,,,
1/13/2021 11:47:59,1/13/2021 11:52:45,286,R_2R96BZq1iFKOSdd,,Psychology ,,,,,
1/13/2021 11:48:23,1/13/2021 11:53:46,322,R_2qgfSv1uJs7zFfU,Gatherings ,S-engineering ,Astrology ,,,,
1/13/2021 11:53:08,1/13/2021 12:01:21,492,R_2WMrWJXjbYyFtr8,,I don't fucking know,Theatre,,,,
1/13/2021 11:58:36,1/13/2021 12:02:02,205,R_cBj4iTusuRtPPzj,,Electrical Engineering,,,,,
1/13/2021 12:01:43,1/13/2021 12:05:06,202,R_2rHhVzkbzBcx7VL,,math,no,,,,
1/13/2021 13:11:00,1/13/2021 13:24:06,786,R_pMZ0PwqjzEnERG1,,,,,,,
1/13/2021 14:41:24,1/13/2021 15:14:41,1997,R_bKJDWGJaKtWE7cJ,,Biochemistry,Ethnic Studies,,,,
1/13/2021 15:31:51,1/13/2021 15:35:42,230,R_2P7N8lOXqbAERPP,,Finance,,,,,
1/13/2021 16:54:42,1/13/2021 16:59:49,307,R_3LjoTOGyhLfrwVH,,econ ,not sure but if they offered then maybe,,,,
1/13/2021 17:09:06,1/13/2021 17:21:10,723,R_Q5HYCAKxEDPgCat,,Engineering,,,,,
