StartDate (Start Date),EndDate (End Date),Duration (in seconds) (Duration (in seconds)),ResponseId (Response ID),Q1_1 (What type of Crystal events should the administration focus on improving? - Arts),Q1_2 (What type of Crystal events should the administration focus on improving? - Culture/Holidays),Q1_3 (What type of Crystal events should the administration focus on improving? - Sports),Q1_4 (What type of Crystal events should the administration focus on improving? - Dances),Q1_5 (What type of Crystal events should the administration focus on improving? - Other),Q1_5_TEXT (What type of Crystal events should the administration focus on improving? - Other - Text),Q3 (How often do you attend Crystal events?),"Q4_1 (During spirit weeks, how many days do you typically participate? - Days participated)",Q5 (How often do you attend spirit events per month?),Q6_1 (What type of Crystal activities do you find most engaging? - Club-Period Clubs),Q6_2 (What type of Crystal activities do you find most engaging? - Afterschool Clubs),Q6_3 (What type of Crystal activities do you find most engaging? - Sports),Q6_4 (What type of Crystal activities do you find most engaging? - Theater),Q9_1 (How many hours per week do you spend... - Participating in non-Crystal extracurriculars?),Q9_2 (How many hours per week do you spend... - Participating in Crystal extracurriculars?),Q9_3 (How many hours per week do you spend... - On homework on weekdays?),Q9_4 (How many hours per week do you spend... - On homework on weekends?),Q10_1 (What does your free-time vs. obligations time balance look like?),Q12_1 (What subject assigns the most homework? - Math),Q12_2 (What subject assigns the most homework? - Science),Q12_3 (What subject assigns the most homework? - History),Q12_4 (What subject assigns the most homework? - English),Q12_5 (What subject assigns the most homework? - Language),Q12_6 (What subject assigns the most homework? - Art),Q12_7 (What subject assigns the most homework? - CADS),Q13_1 (How many hours do you sleep every day... - On the weekend),Q13_2 (How many hours do you sleep every day... - During the week),Q14_1 (Which Crystal programs cause you to get more sleep than usual? - No HW Weekends),Q14_2 (Which Crystal programs cause you to get more sleep than usual? - Late Starts),Q14_3 (Which Crystal programs cause you to get more sleep than usual? - Three Major Assessment Limit Per Day),Q14_4 (Which Crystal programs cause you to get more sleep than usual? - Time Limits on HW Length),Q15_1 (What causes you to lose sleep? - Multiple Assessments),Q15_2 (What causes you to lose sleep? - Too Much Homework),Q15_3 (What causes you to lose sleep? - Sports Games),Q15_4 (What causes you to lose sleep? - Theater Productions),Q16 (What is your planned major?),Q17 (Crystal has enough extracurricular activities related to your academic interests/ambitions.),Q18 (Are there any elective courses you would like Crystal to offer in the future? (Ex: Astronomy)),Q19_1 (For what department does Crystal need more elective courses? - Math),Q19_2 (For what department does Crystal need more elective courses? - Science),Q19_3 (For what department does Crystal need more elective courses? - History),Q19_4 (For what department does Crystal need more elective courses? - English),Q19_5 (For what department does Crystal need more elective courses? - Language),Q19_6 (For what department does Crystal need more elective courses? - Arts),Q19_7 (For what department does Crystal need more elective courses? - CADS),Q21 (Which departments would you most like to collaborate if interdisciplinary electives were to be added? (Select 2-3)),Q22 (What is your gender identity? - Selected Choice),Q22_4_TEXT (What is your gender identity? - Other - Text),Q23 (What is your grade level?),Q24 (What is your racial or ethnic identification? (select all that apply)),Q25 (What is the highest level of education completed by either of your parents or guardians?),Q26 (With what religious affiliation do you most closely identify? - Selected Choice),Q26_11_TEXT (With what religious affiliation do you most closely identify? - Other - Text),Q27 (How many people do you live with?),Q16 - Parent Topics (Q16 - Parent Topics),Q16 - Topics (Q16 - Topics)
1/13/2021 10:37:46,1/13/2021 10:39:45,118,R_0c71V8f62Vfihe9,2,3,1,4,5,yes,Always,3,4,3,2,4,1,5,4,7,4,7,2,5,1,6,4,7,3,8,2,2,3,1,,3,1,4,2,S-Science,Strongly agree,NO,1,4,2,3,5,6,7,Math,,,,,,,,,,Unknown
1/13/2021 10:43:19,1/13/2021 10:45:06,107,R_3q7qouXqooL8ciw,1,4,2,3,5,lLll,Often,2,5,1,3,2,4,5,7,6,4,7,4,1,2,6,3,5,7,13,4,1,3,2,,2,1,4,3,H-Humanities,Somewhat disagree,Astronomy,1,2,5,3,6,7,4,Language,,,,,,,,,,Unknown
1/13/2021 10:54:11,1/13/2021 10:54:53,42,R_1hM9f8qRiXeHppl,,,,,,,Often,2,0,2,3,1,4,2,1,0,3,7,,,,,,,,7,4,,,,,,,,,afds,Strongly agree,astro,,,,,,,,"Math,Science,History",,,,,,,,,,
1/13/2021 11:47:59,1/13/2021 11:52:45,286,R_2R96BZq1iFKOSdd,1,2,3,4,5,,Sometimes,1,0,1,2,3,4,2,1,4,11+,9,1,2,3,4,5,6,7,8,10,1,2,3,4,1,2,3,4,Psychology,Strongly agree,,1,2,3,4,5,6,7,"Math,Science",Female,,11,White,"Doctoral or professional degree(Ph.D., J.D., M.D., etc.)",Athiest,,6,,
1/13/2021 11:48:23,1/13/2021 11:53:46,322,R_2qgfSv1uJs7zFfU,1,3,4,5,2,Gatherings,Sometimes,1,4,2,3,1,4,4,5,9,5,6,1,3,5,4,6,2,7,7,11,1,2,4,3,3,1,2,4,S-engineering,Strongly agree,Astrology,1,3,2,4,5,6,7,"Science,Language",Prefer not to say,,8,East Asian,"Doctoral or professional degree(Ph.D., J.D., M.D., etc.)",Agnostic,,7+,,
1/13/2021 11:53:08,1/13/2021 12:01:21,492,R_2WMrWJXjbYyFtr8,4,3,1,2,5,,Often,3,2,2,3,1,4,2,10,3,3,6,5,1,4,2,3,6,7,10,8,1,2,4,3,2,1,3,4,I don't fucking know,Somewhat agree,Theatre,2,1,3,5,4,6,7,"History,English,Language",Male,,12,White,"Master's degree(M.A., M.S., etc.)",Protestant Christian,,5,,
1/13/2021 11:58:36,1/13/2021 12:02:02,205,R_cBj4iTusuRtPPzj,1,2,3,4,5,,Often,2,2,3,2,4,1,2,7,3,4,8,3,4,5,2,6,7,1,8,10,2,1,3,4,3,2,4,1,Electrical Engineering,Somewhat agree,,4,3,5,6,7,2,1,"Science,Arts,CADS",Male,,12,White,"Master's degree(M.A., M.S., etc.)",Jewish,,2,,
1/13/2021 12:01:43,1/13/2021 12:05:06,202,R_2rHhVzkbzBcx7VL,1,2,3,4,5,,Always,3,2,1,2,3,4,0,2,5,3,4,7,1,2,3,4,5,6,7,7,2,1,3,4,2,1,3,4,math,Strongly agree,no,1,2,3,6,4,5,7,"Math,Arts",Male,,11,White,"Master's degree(M.A., M.S., etc.)",Jewish,,4,,
1/13/2021 13:11:00,1/13/2021 13:24:06,786,R_pMZ0PwqjzEnERG1,3,4,2,1,5,,Sometimes,2,1,1,3,4,2,4,1,3,6,7,6,4,1,3,5,7,2,8,7,1,3,2,4,2,1,3,4,,Neither agree nor disagree,,1,2,5,4,6,7,3,"Science,CADS",Female,,11,White,"Doctoral or professional degree(Ph.D., J.D., M.D., etc.)",Athiest,,4,,
1/13/2021 14:41:24,1/13/2021 15:14:41,1997,R_bKJDWGJaKtWE7cJ,4,2,3,1,5,,Sometimes,3,2,2,3,1,4,8,3,4,5,7,1,2,3,5,6,7,4,8,7,1,2,4,3,2,1,3,4,Biochemistry,Strongly agree,Ethnic Studies,6,2,4,3,7,5,1,"History,English,Arts",Female,,12,East Asian,"Bachelor's degree(B.A., B.S., etc.)",Agnostic,,2,,
1/13/2021 15:31:51,1/13/2021 15:35:42,230,R_2P7N8lOXqbAERPP,4,3,1,2,5,,Often,0,1,2,3,1,4,3,10,2,5,3,1,3,4,5,6,7,2,11,10,1,2,3,4,1,3,2,4,Finance,Neither agree nor disagree,,3,4,6,5,1,7,2,"Math,CADS",Male,,11,White,"Master's degree(M.A., M.S., etc.)",Athiest,,3,,
1/13/2021 16:54:42,1/13/2021 16:59:49,307,R_3LjoTOGyhLfrwVH,1,2,4,3,5,,Sometimes,3,1,2,4,1,3,4,2,3,4,7,5,4,2,3,7,6,1,11,8,1,2,3,4,1,3,2,4,econ,Neither agree nor disagree,not sure but if they offered then maybe,6,4,1,2,5,3,7,"History,English",Female,,11,Middle Eastern,"Doctoral or professional degree(Ph.D., J.D., M.D., etc.)",Muslim,,3,,
1/13/2021 17:09:06,1/13/2021 17:21:10,723,R_Q5HYCAKxEDPgCat,4,1,3,2,5,,Sometimes,3,2,3,1,2,4,4,8,11+,4,3,2,3,4,5,6,7,1,11,8,1,4,3,2,1,2,3,4,Engineering,Strongly agree,,2,4,6,5,3,7,1,"Math,Science,History",Male,,12,"East Asian,Southeast Asian","Master's degree(M.A., M.S., etc.)",Athiest,,3,,
